Organism,Lineage
Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIMB 9529 / HD100),"Bdellovibrio, Bdellovibrionaceae, Bdellovibrionales, Oligoflexia, Proteobacteria, Bacteria, cellular organisms"
Subterranean clover stunt virus (strain F),"Nanovirus, Nanoviridae, Mulpavirales, Arfiviricetes, Cressdnaviricota, Shotokuvirae, Monodnaviria, Viruses"
Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),"Neurospora, Sordariaceae, Sordariales, Sordariomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),"Borreliella, Borreliaceae, Spirochaetales, Spirochaetia, Spirochaetes, Bacteria, cellular organisms"
Komagataeibacter xylinus,"Komagataeibacter, Acetobacteraceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Lactococcus lactis subsp. cremoris (strain MG1363),"Lactococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Chlamydia pneumoniae,"Chlamydia, Chlamydia/Chlamydophila group, Chlamydiaceae, Chlamydiales, Chlamydiia, Chlamydiae, PVC group, Bacteria, cellular organisms"
African swine fever virus (isolate Pig/Kenya/KEN-50/1950),"Asfivirus, Asfarviridae, Asfuvirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Synechococcus sp. (strain WH7803),"unclassified Synechococcus, Synechococcus, Synechococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),"Salmonella enterica I, Salmonella enterica, Salmonella, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Brucella suis biovar 1 (strain 1330),"Brucella suis, Brucella, Brucella/Ochrobactrum group, Brucellaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Aquifex aeolicus (strain VF5),"Aquifex, Aquificaceae, Aquificales, Aquificae, Aquificae, Bacteria, cellular organisms"
Saccharomyces cerevisiae (strain YJM789),"Saccharomyces, Saccharomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Pongo abelii,"Pongo, Ponginae, Hominidae, Hominoidea, Catarrhini, Simiiformes, Haplorrhini, Primates, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Metridium senile,"Metridium, Metridiidae, Nynantheae, Actiniaria, Hexacorallia, Anthozoa, Cnidaria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Paracoccus denitrificans,"Paracoccus, Rhodobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Rubrobacter xylanophilus (strain DSM 9941 / NBRC 16129 / PRD-1),"Rubrobacter, Rubrobacteraceae, Rubrobacterales, Rubrobacteria, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229),"Zygosaccharomyces, Saccharomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Suid herpesvirus 1 (strain Rice),"Suid alphaherpesvirus 1, Varicellovirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Halorubrum lacusprofundi (strain ATCC 49239 / DSM 5036 / JCM 8891 / ACAM 34),"Halorubrum, Halorubraceae, Haloferacales, Halobacteria, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Xenopus tropicalis,"Silurana, Xenopus, Xenopodinae, Pipidae, Pipoidea, Anura, Batrachia, Amphibia, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Chlamydomonas reinhardtii,"Chlamydomonas, Chlamydomonadaceae, Chlamydomonadales, CS clade, Chlorophyceae, core chlorophytes, Chlorophyta, Viridiplantae, Eukaryota, cellular organisms"
Human cytomegalovirus (strain Merlin),"Cytomegalovirus, Betaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Porphyra purpurea,"Porphyra, Bangiaceae, Bangiales, Bangiophyceae, Rhodophyta, Eukaryota, cellular organisms"
Suid herpesvirus 1 (strain Kaplan),"Suid alphaherpesvirus 1, Varicellovirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Gallus gallus,"Gallus gallus, Gallus, Phasianinae, Phasianidae, Galliformes, Galloanserae, Neognathae, Aves, Coelurosauria, Theropoda, Saurischia, Dinosauria, Archosauria, Archelosauria, Sauria, Sauropsida, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Xenopus laevis,"Xenopus, Xenopus, Xenopodinae, Pipidae, Pipoidea, Anura, Batrachia, Amphibia, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Calcarisporium arbuscula,"Calcarisporium, Hypocreales incertae sedis, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Dunaliella salina,"Dunaliella, Dunaliellaceae, Chlamydomonadales, CS clade, Chlorophyceae, core chlorophytes, Chlorophyta, Viridiplantae, Eukaryota, cellular organisms"
Acanthamoeba polyphaga mimivirus,"Mimivirus, Mimiviridae, Imitervirales, Megaviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Salmonella typhimurium (strain 14028s / SGSC 2262),"Salmonella enterica I, Salmonella enterica, Salmonella, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Sodalis glossinidius (strain morsitans),"Sodalis, Bruguierivoracaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),"Pseudomonas aeruginosa group, Pseudomonas, Pseudomonadaceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Canis lupus familiaris,"Canis lupus, Canis, Canidae, Caniformia, Carnivora, Laurasiatheria, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Chlamydia trachomatis serovar L2 (strain 434/Bu / ATCC VR-902B),"Chlamydia trachomatis, Chlamydia, Chlamydia/Chlamydophila group, Chlamydiaceae, Chlamydiales, Chlamydiia, Chlamydiae, PVC group, Bacteria, cellular organisms"
Mycobacterium avium (strain 104),"Mycobacterium avium complex (MAC), Mycobacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Yarrowia lipolytica (strain CLIB 122 / E 150),"Yarrowia, Dipodascaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),"unclassified Nostoc, Nostoc, Nostocaceae, Nostocales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Gallid herpesvirus 2 (strain Chicken/Md5/ATCC VR-987),"Gallid alphaherpesvirus 2, Mardivirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Drosophila melanogaster,"melanogaster subgroup, melanogaster group, Sophophora, Drosophila, Drosophilini, Drosophilinae, Drosophilidae, Ephydroidea, Acalyptratae, Schizophora, Cyclorrhapha, Eremoneura, Muscomorpha, Brachycera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Cymbidium mosaic virus (strain Singapore),"Potexvirus, Alphaflexiviridae, Tymovirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Danio rerio,"Danio, Danioninae, Danionidae, Cyprinoidei, Cypriniformes, Cypriniphysae, Otophysi, Ostariophysi, Otomorpha, Clupeocephala, Osteoglossocephalai, Teleostei, Neopterygii, Actinopteri, Actinopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Encephalitozoon cuniculi (strain GB-M1),"Encephalitozoon, Unikaryonidae, Apansporoblastina, Microsporidia, Fungi incertae sedis, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Malassezia globosa (strain ATCC MYA-4612 / CBS 7966),"Malassezia, Malasseziaceae, Malasseziales, Malasseziomycetes, Ustilaginomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Xanthomonas axonopodis pv. citri (strain 306),"Xanthomonas citri pv. citri, Xanthomonas citri, Xanthomonas citri group, Xanthomonas, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Oryza sativa,"Oryza sativa, Oryza, Oryzinae, Oryzeae, Oryzoideae, BOP clade, Poaceae, Poales, commelinids, Petrosaviidae, Liliopsida, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Symbiobacterium thermophilum (strain T / IAM 14863),"Symbiobacterium, Symbiobacteriaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Ralstonia solanacearum (strain GMI1000),"Ralstonia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Mycobacterium bovis (strain BCG / Pasteur 1173P2),"Mycobacterium tuberculosis, Mycobacterium tuberculosis complex, Mycobacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125),"Alkalihalobacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),"Mycobacterium tuberculosis, Mycobacterium tuberculosis complex, Mycobacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Rickettsia bellii (strain RML369-C),"belli group, Rickettsia, Rickettsieae, Rickettsiaceae, Rickettsiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Rickettsia conorii (strain ATCC VR-613 / Malish 7),"spotted fever group, Rickettsia, Rickettsieae, Rickettsiaceae, Rickettsiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),"Campylobacter jejuni subsp. jejuni, Campylobacter jejuni, Campylobacter, Campylobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Treponema pallidum (strain Nichols),"Treponema, Treponemataceae, Spirochaetales, Spirochaetia, Spirochaetes, Bacteria, cellular organisms"
Synechocystis sp. (strain PCC 6803 / Kazusa),"unclassified Synechocystis, Synechocystis, Merismopediaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Picea sitchensis,"Picea, Pinaceae, Pinales, Conifers I, Pinidae, Pinopsida, Acrogymnospermae, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Mycobacterium leprae (strain TN),"Mycobacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Drosophila pseudoobscura pseudoobscura,"Drosophila pseudoobscura, pseudoobscura subgroup, obscura group, Sophophora, Drosophila, Drosophilini, Drosophilinae, Drosophilidae, Ephydroidea, Acalyptratae, Schizophora, Cyclorrhapha, Eremoneura, Muscomorpha, Brachycera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Maedi visna virus (strain 1514 / clone LV1-1KS2),"Visna/maedi virus 1514, Visna-maedi virus, Lentivirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Brucella abortus (strain 2308),"Brucella, Brucella/Ochrobactrum group, Brucellaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),"Mycobacterium tuberculosis complex, Mycobacterium, Mycobacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Phytophthora infestans (strain T30-4),"Phytophthora, Peronosporaceae, Peronosporales, Oomycota, Stramenopiles, Sar, Eukaryota, cellular organisms"
Sus scrofa,"Sus, Suidae, Suina, Artiodactyla, Laurasiatheria, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1),"Halobacterium, Halobacteriaceae, Halobacteriales, Halobacteria, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Emiliania huxleyi,"Emiliania, Noelaerhabdaceae, Isochrysidales, Prymnesiophyceae, Haptophyta, Haptista, Eukaryota, cellular organisms"
Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),"Fusarium sambucinum species complex, Fusarium, Nectriaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Lysinibacillus sphaericus,"Lysinibacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938),"Methanopyrus, Methanopyraceae, Methanopyrales, Methanopyri, Euryarchaeota, Archaea, cellular organisms"
Takifugu rubripes,"Takifugu, Tetraodontidae, Tetradontoidea, Tetraodontoidei, Tetraodontiformes, Eupercaria, Percomorphaceae, Euacanthomorphacea, Acanthomorphata, Ctenosquamata, Eurypterygia, Neoteleostei, Euteleosteomorpha, Clupeocephala, Osteoglossocephalai, Teleostei, Neopterygii, Actinopteri, Actinopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Salmonella muenchen,"Salmonella enterica I, Salmonella enterica, Salmonella, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Hyphomonas neptunium (strain ATCC 15444),"Hyphomonas, Hyphomonadaceae, Hyphomonadales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Toxoplasma gondii (strain ATCC 50861 / VEG),"Toxoplasma, Sarcocystidae, Eimeriorina, Eucoccidiorida, Coccidia, Conoidasida, Apicomplexa, Alveolata, Sar, Eukaryota, cellular organisms"
Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65),"Nakaseomyces/Candida clade, Nakaseomyces, Saccharomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Caenorhabditis briggsae,"Caenorhabditis, Peloderinae, Rhabditidae, Rhabditoidea, Rhabditomorpha, Rhabditina, Rhabditida, Chromadorea, Nematoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),"Vibrio cholerae O1 biovar El Tor, Vibrio cholerae O1, Vibrio cholerae, Vibrio, Vibrionaceae, Vibrionales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),"Streptomyces albidoflavus group, Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Clostridium ljungdahlii (strain ATCC 55383 / DSM 13528 / PETC),"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Bordetella avium (strain 197N),"Bordetella, Alcaligenaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Salmonella phage P22,"Lederbergvirus, Podoviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),"Corynebacterium, Corynebacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Human adenovirus B serotype 3,"Human mastadenovirus B, Mastadenovirus, Adenoviridae, Rowavirales, Tectiliviricetes, Preplasmiviricota, Bamfordvirae, Varidnaviria, Viruses"
Woodchuck hepatitis B virus (isolate 2),"Woodchuck hepatitis virus, Orthohepadnavirus, Hepadnaviridae, Blubervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163),"Neosartorya fumigata, Aspergillus subgen. Fumigati, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Erwinia amylovora,"Erwinia, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),"Archaeoglobus, Archaeoglobaceae, Archaeoglobales, Archaeoglobi, Euryarchaeota, Archaea, cellular organisms"
Thermoanaerobacterium sp,"unclassified Thermoanaerobacterium, Thermoanaerobacterium, Thermoanaerobacterales Family III. Incertae Sedis, Thermoanaerobacterales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Uncultured marine bacterium 66A03,"environmental samples, Bacteria, cellular organisms"
Acidianus ambivalens,"Acidianus, Sulfolobaceae, Sulfolobales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms"
Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),"Debaryomyces, Debaryomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Rhizobium radiobacter,"Agrobacterium tumefaciens complex, Agrobacterium, Rhizobium/Agrobacterium group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Nocardia farcinica (strain IFM 10152),"Nocardia, Nocardiaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Shewanella sediminis (strain HAW-EB3),"Shewanella, Shewanellaceae, Alteromonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100),"Neosartorya fumigata, Aspergillus subgen. Fumigati, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
